Date,MSCI World
01/2012,166428.92548232252
02/2012,171091.73713019263
03/2012,174420.17405294726
04/2012,174292.53588413182
05/2012,169659.66417338082
06/2012,175656.36404886915
07/2012,182346.43764192922
08/2012,182121.172360436
09/2012,182508.06809134304
10/2012,180395.7993249808
11/2012,182804.23354110227
12/2012,183306.03961742294
01/2013,187582.21279401003
02/2013,193916.97235713457
03/2013,203480.69879850213
04/2013,205601.43552046167
05/2013,206722.82563589438
06/2013,200488.3673837795
07/2013,207943.1770635732
08/2013,204132.21278789476
09/2013,210056.16139523915
10/2013,216102.26917282876
11/2013,220427.51932068204
12/2013,222153.7960689473
01/2014,218278.166037425
02/2014,224277.14315088894
03/2014,225008.96563224253
04/2014,226297.02084729716
05/2014,234870.21932514964
06/2014,238179.11548768147
07/2014,239265.5861410615
08/2014,248079.4435767389
09/2014,252950.41868087568
10/2014,255786.1009308187
11/2014,261769.20957829335
12/2014,264803.0360789859
01/2015,279232.1416625082
02/2015,297301.35816905805
03/2015,305730.88408289355
04/2015,300178.5398908151
05/2015,307939.77043225337
06/2015,294892.36405894987
07/2015,306262.20686369843
08/2015,279671.1591490904
09/2015,269644.14140385843
10/2015,295925.0539821765
11/2015,306643.7702144706
12/2015,292731.1320163302
01/2016,274386.98492142855
02/2016,273145.3070502433
03/2016,278947.6416253396
04/2016,282914.3126924234
05/2016,290854.4919374069
06/2016,288942.4358091719
07/2016,300851.7054411729
08/2016,300587.8217491223
09/2016,301399.3574113136
10/2016,301371.860982302
11/2016,314645.0820543735
12/2016,325047.0225210583
01/2017,326268.2751460959
02/2017,340319.6912939634
03/2017,340920.6434858108
04/2017,338403.48707772855
05/2017,336600.59384209785
06/2017,332240.3770303907
07/2017,331053.7797284324
08/2017,328772.46403403033
09/2017,336692.5029233621
10/2017,348007.64767488785
11/2017,349216.72851048503
12/2017,349689.63846413
01/2018,354440.25233213924
02/2018,346516.2502785341
03/2018,336019.75633250707
04/2018,346690.4162919509
05/2018,360194.5120758423
06/2018,361288.8311468575
07/2018,370096.9548691918
08/2018,377409.57958097453
09/2018,381969.86913948867
10/2018,361990.5227910669
11/2018,364781.2367032482
12/2018,334365.29845615
01/2019,359188.8222957569
02/2019,372323.07995161955
03/2019,383290.3893288231
04/2019,397483.0448158682
05/2019,376798.3545670402
06/2019,393545.4729997349
07/2019,403616.82745088806
08/2019,399480.8590412406
09/2019,413489.93823033466
10/2019,413938.37668370974
11/2019,432130.3255134631
12/2019,435092.26807808265
01/2020,439565.3117317643
02/2020,405160.39472645934
03/2020,352214.1944768149
04/2020,393565.34135406127
05/2020,402945.04639772646
06/2020,411313.35371286
07/2020,407346.3046000334
08/2020,431214.4696998599
09/2020,424587.89383369073
10/2020,411915.4706703681
11/2020,453647.6943686267
12/2020,461666.74867254926
01/2021,462162.93308335444
02/2021,474592.13433402125
03/2021,506944.97712908936
04/2021,514861.877557841
05/2021,517184.7624900095
06/2021,538894.5702956186
07/2021,548224.8143634184
08/2021,564575.5361378051
09/2021,553051.2347403184
10/2021,581064.3127416789
11/2021,582435.9729701157
12/2021,609313.3866606732
01/2022,585867.8084941544
02/2022,568857.8454295495
03/2022,589628.9734111327
04/2022,569422.8246093927
05/2022,560651.7559530048
06/2022,528159.045506822
07/2022,580658.4723756232
08/2022,567398.7591808622
09/2022,527958.01590917
10/2022,556397.2287228062
11/2022,568587.1881029423
12/2022,529637.9027403039
01/2023,558370.4746004468
02/2023,555930.1784944491
03/2023,559617.1584057389
04/2023,563930.2550346977
05/2023,573873.9824267175
06/2023,598331.1802623811
07/2023,609622.5273570892
08/2023,603548.0433577927
09/2023,592448.5337247931
10/2023,573903.8478342931
11/2023,609792.0630160035
12/2023,632839.9509537511
01/2024,653021.9775481477
02/2024,681400.2190376476
03/2024,704272.7165461194
04/2024,683996.6670341112
05/2024,705715.4417128729
06/2024,729963.2321311199
07/2024,734388.8674841091
08/2024,736189.8446235245
09/2024,742373.8456796908
10/2024,748643.7387063099
11/2024,806719.1094322795
12/2024,798779.0932978133
01/2025,826648.6403583796
02/2025,819280.148374629
03/2025,753563.2436331915
04/2025,722959.1182374044
05/2025,768048.5160032312
06/2025,775146.5335954078
07/2025,803919.4238380806
08/2025,809889.4564736295
09/2025,830014.7138940967
10/2025,860338.7009363472
11/2025,861873.811312663
12/2025,855235.0069806318
01/2026,861976.54948686
02/2026,876675.6142652112
03/2026,842752.3206956891
04/2026,907486.9834318387
05/2026,953522.8336569385
06/2026,967452.3576832024
