year,iso,included,exclusion_reason,cap_year,market_cap_usd,start_weight,return_source,local_return,usd_return,reference_currency_return,usd_return_contribution
1915,FRA,true,,1914,5303771619.82483,0.13795305349291262,JST_R6_EQ_TR,-0.09544692188501358,-0.1724370743408411,-0.060290696564600066,-0.023788220940703403
1915,GBR,true,,1914,6322599727.021166,0.1644531478496868,JST_R6_EQ_TR,0.026000000536441803,-0.010119885305469034,0.12402274705967753,-0.001664246994362172
1915,ITA,false,missing_start_market_cap,1914,,,JST_R6_EQ_TR,0.21826882660388947,,,
1915,JPN,true,,1914,305958613.6642655,0.007958096242243144,JST_R6_EQ_TR,0.327100932598114,0.30001724009611164,0.47618780066988364,0.002387566071017025
1915,NLD,false,missing_start_market_cap,1914,,,JST_R6_EQ_TR,0.06257780641317368,,,
1915,NOR,true,,1914,140459716.7936365,0.003653408972589182,JST_R6_EQ_TR,0.18114539980888367,0.2548066204011925,0.42485050821256887,0.0009309127932488424
1915,PRT,true,,1914,87438638.60337067,0.0022743111983763433,JST_R6_EQ_TR,0.1238078847527504,-0.08981947534983636,0.03352274528032595,-0.00020427743862042077
1915,SWE,true,,1914,444573210.6011057,0.011563512967701242,JST_R6_EQ_TR,0.18652290105819702,0.28559657227515123,0.45981293020028824,0.003302499667034736
1915,USA,true,,1914,18635074615.478516,0.4847051550380353,JST_R6_EQ_TR,0.3482993245124817,0.3482993245124817,0.5310127843763224,0.1688224780874654
1916,AUS,true,,1915,437125021.578186,0.010359445229633753,JST_R6_EQ_TR,-0.03400000184774399,-0.030933087934712833,0.1006685914815606,-0.0003204496302431023
1916,BEL,true,,1915,1174194577.660891,0.027827289255358344,JST_R6_EQ_TR,0.01129187736660242,-0.06721023183537134,0.059464921865997944,-0.001870278562202572
1916,CAN,true,,1915,1360151290.8935547,0.03223428563104379,KZ_R1_EQ_TR_FALLBACK,0.05255956947803497,0.05223011833278823,0.19512556650143842,0.0016836005528823126
1916,CHE,false,missing_start_market_cap,1915,,,JST_R6_EQ_TR,0.08325892686843872,,,
1916,DEU,true,,1915,3615336482.40529,0.08568001927905054,JST_R6_EQ_TR,0.1535072773694992,0.015587928988363586,0.15350727736949943,0.001335574056243463
1916,DNK,true,,1915,239871416.37114513,0.00568472331114792,JST_R6_EQ_TR,0.6746337413787842,0.8382323937292531,1.0878688916431023,0.004765119228792006
1916,ESP,true,,1915,198855059.8261233,0.004712674862369558,JST_R6_EQ_TR,0.09042031317949295,0.09882432330033697,0.24804737955099987,0.0004657269042081802
1916,FIN,true,,1915,66410109.54331537,0.001573856124785801,JST_R6_EQ_TR,0.896595299243927,0.8489999370162491,1.1000986938949988,0.001336203750815783
1916,FRA,true,,1915,4639523764.404965,0.10995227899654957,JST_R6_EQ_TR,0.15625160932540894,0.09379398884545642,0.2423339132565676,0.010312862829734882
1916,GBR,true,,1915,5689160127.3947735,0.13482765761058296,JST_R6_EQ_TR,-0.024708330631256104,-0.022848861290228784,0.1098506760654192,-0.0030806584468306693
